X,Y,OBJECTID,STATION_NA,ADDRESS,LONGITUDE,LATITDE,CITY,STATE,Number_of_Stations,Number_of_Ports,PRICE_POLY,DATEACTIVE,GlobalID,last_edi_1,PortType,Location_o,SiteContac,ContactEma,Equipment_,ExistingPa,ExistingEl,Fee,ChargerTyp,Status,Ownership,UsableBy
-7920241.6187025,5192618.52083333,1,MBTA Route 128 Station,402-698 Blue Hill Drive,-71.148741,42.210865,Westwood,MA,4,,,2012-11-30T11:45:00.000Z,{EE80472B-E0E7-42D5-812A-51ECD0FF9106},2009/07/21,SAE J1772,Second level of garage,,,ChargePoint CT2000-HD-GPRS1-CCR,"2,589",,$7 Daily Parking Fee,Level 2,Operational,MBTA,Public
-7919491.21401506,5220484.14389618,2,MBTA Alewife Station,Alewife Station Access Road,-71.142,42.396,Cambridge,MA,6,,,,{F7C23459-846E-47BF-B637-AFB67936CDB3},2009/07/21,SAE J1772,Second level of garage,,,Chargepoint CT2000-HD-CCR,"2,733",,$7 Daily Parking Fee,Level 2,Operational,MBTA,Public
-7903683.84632242,5192037.65150628,3,MBTA Braintree Station,280 Ivory Street,-71,42.207,Braintree,MA,5,,,,{CC39CE85-9332-4FCB-BB00-85F3E6CDE71F},2009/07/21,SAE J1772,Pick up/drop off section near exit,,,ChargePoint CT2000-HD-CCR,"1,322",,,Level 2,Operational,MBTA,Public
-7904574.40224877,5195945.86616203,4,MBTA Quincy Adams Station,180 Penn St,-71.008,42.233,Quincy,MA,2,,,2012-11-30T05:00:00.000Z,{EE64C8E7-B0FD-478E-9820-D58F006B5850},2009/07/21,SAE J1772,Ground floor of garage,,,ChargePoint CT2000-HD-GPRS1-CCR,"2,538",,$7 Daily Parking Fee,Level 2,Operational,MBTA,Public
-7959677.55019144,5239345.0491877,5,MBTA Littleton/495 Station,265 Foster Street,-71.503,42.521,Littleton,MA,2,,,2013-06-05T04:00:00.000Z,{9116F7D5-534F-44B8-AA93-28B5FB5DEEE7},2009/07/21,SAE J1772,Adjacent to Walkway,,,Chargepoint CT2025-HD-GPRS1-CCR,224,,$4 Daily Parking Fee,Level 2,Operational,MBTA,Public
-7902793.29039607,5222896.24023344,6,MBTA Wonderland Station,1200-1358 State Hwy 1a,-70.992,42.412,Revere,MA,4,,,2013-05-01T04:00:00.000Z,{956747B4-8A5F-4C02-BDC0-0C01A1E364B5},2009/07/21,SAE J1772,Third level of garage,,,ChargePoint CT2000-HD-CCR,1862,,$5 Daily Parking Fee,Level 2,Operational,MBTA,Public
-7930511.8436036,5210841.90256017,7,MBTA Woodland Station,1810-1920 Massachusetts 16,-71.241,42.332,Newton,MA,4,,,2012-11-30T05:00:00.000Z,{247D766D-1CCC-465B-8282-1C89BC470606},2009/07/21,SAE J1772,Second Level of Garage,,,ChargePoint CT2000-HD_GPRS1-CCR,548,,$6 Daily Parking Fee,Level 2,Operational,MBTA,Public
-8018010.85579845,5181947.467308,8,MassDOT I-90EB Charlton Service Plaza,"I-90 East, Mile Marker 80.3",-72.027017,42.139824,Charlton,MA,1,2,$0.30/Min,,{C15FF7F7-C99C-4910-BAEC-6DD82AB9A8CE},2009/07/21,CCS/SAE & CHAdeMO,In front of convenience store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",172,800 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
-8010985.03745653,5184535.38222793,9,MassDOT I-90WB Charlton Service Plaza,"I-90 West, Mile Marker 83.7",-71.963903,42.15706,Charlton,MA,1,2,$0.30/Min,,{42F21BF0-B59B-470B-9948-7B62D2933303},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to Convenience Store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",179,800 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
-7942876.65604346,5208638.52247504,10,MassDOT I-90EB Natick Service Plaza,"I-90 East, Mile Marker 118.4",-71.352075,42.317366,Natick,MA,1,2,$0.30/Min,,{8D73A38E-9DD2-45A0-A9AA-352F33692D74},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to convenience store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",144,400 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
-7951260.79481205,5207888.97212934,11,MassDOT I-90WB Framingham Service Plaza,"I-90 West, Mile Marker 114.3",-71.427391,42.312387,Framingham,MA,1,2,$0.30/Min,,{20122044-1E5F-4FD3-9C1D-78A891AEBCA6},2009/07/21,CCS/SAE & CHAdeMO,Adjacent to convenience store,Donald Pettey,donald.pettey@state.ma.us,"BTCPower, EVFC-50-480",146,400 amp,$0.30/min,Fast Charging,Operational,MassDOT,Public
