X,Y,OBJECTID,id,FileName,Site,Owner,Point_num,Species,num_Indivi,Other,PhotoN,PhotoE,PhotoS,PhotoW,LifeStage,Habitat,PointNotes,photo,Treatment_
-71.745540472,41.6452783020001,1,1,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,367, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_367_W.jpg, , , ,y,y
-71.744987092,41.6457637820001,2,2,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,378, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_378_W.jpg, , , ,y,y
-71.745845152,41.6458502020001,3,3,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,383,LOMO2,5, , , , , ,S,O, , ,y
-71.745881272,41.6458129820001,4,4,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,384,ELUM,2, , , , , ,SA,O, , ,y
-71.745343412,41.6459075320001,5,5,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,385,ROMU,6, , , , , ,S,OX, , ,y
-71.745342992,41.6459114720001,6,6,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,386,BETH,0, , , , , ,S,OX, , ,y
-71.744816692,41.645849282,7,7,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,388, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_388_N.jpg, , , , , , ,y,y
-71.744614692,41.6461389520001,8,8,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,390, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_390_W.jpg, , , ,y,y
-71.7435681219999,41.6459904320001,9,9,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,395,FRAL4,1,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_395_W.jpg,M,XS,"~15' tall, 1 cluster with 4-6 individuals",y,y
-71.743753612,41.645679882,10,10,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,397, ,0,PHOTO, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_397_E.jpg, , , , ,"Picture taken at manmade, stonelined river's edge and mouth of stone lined pond, along stone wall.",y,y
-71.744015631,41.6454808120001,11,11,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,399, ,0,PHOTO, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_399_S.jpg, , , , ,y,y
-71.744167182,41.645460271,12,12,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,400, ,0,PHOTO, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_400_E.jpg, , , , , ,y,y
-71.7443452109999,41.6453078010001,13,13,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,403, ,0,PHOTO, ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_403_E.jpg, , , , , ,y,y
-71.7438193309999,41.646021692,14,14,GL_06_09_P,"Tillinghast Pond Area, Narrow Ln",TNC,406, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_09_406_N.jpg, , , , , , ,y,y
-71.744147391,41.6441558810001,15,15,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,305, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_305_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_305_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_305_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_305_W.jpg, , , ,y,y
-71.744342521,41.6448264320001,16,16,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,312, ,0,PHOTO, , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_312_S.jpg, , , , ,y,y
-71.7443675009999,41.6448162120001,17,17,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,313, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_313_N.jpg, , , , , , ,y,y
-71.7441957619999,41.644991642,18,18,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,318, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_318_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_318_E.jpg, , , , , ,y,y
-71.743755791,41.645051822,19,19,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,323, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_323_W.jpg, , , ,y,y
-71.7459665229999,41.6456013420001,20,20,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,350, ,0,PHOTO, , , ,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_350_W.jpg, , ,"Columbine spp, at least 6 plants, mixed with LOMO2 in an old stone wall",y,y
-71.7461447219999,41.645305632,21,21,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,356, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_356_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_356_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_356_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_356_W.jpg, , , ,y,y
-71.7442732119999,41.645195992,22,22,GL_06_07_P,"Tillinghast Pond Area, Narrow Ln",TNC,360, ,0,PHOTO,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_360_N.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_360_E.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_360_S.jpg,http://www.edc.uri.edu/rinhs_fhwp/photos/GL_06_07_360_W.jpg, , , ,y,y
-71.7597392229999,41.611163038,23,23,JV_06_08_P,"Falls River, Arcadia",DEM,386,ROMU,1, , , , , ,S,I,Hand pulled, , 
